,bengaliName,objectID,name,nameWithoutSubText,subText,mrp,corpPrice,price,shortDesc,longDesc,slug,doNotApplyDiscounts,picturesUrls,offerPicturesUrls,recursiveCategories,categories,manufacturers,blockSale,derivedProductVariant,unitQuantity,catalogItemType,__lScore,productAvailabilityForSelectedWarehouse
0,মুরগির ডিম  (স্পেশাল অফার ) এক ডজন ,24048,Chicken Eggs (Special Offer) 12 pcs,Chicken Eggs (Special Offer),12 pcs,129.0,99.0,99.0,"Eggs are an all-natural source of high-quality protein and a number of other nutrients, all for 70 calories an egg. 100% fresh and healthy. ","Eggs are an all-natural source of high-quality protein and a number of other nutrients, all for 70 calories an egg. 100% fresh and healthy.",egg-99tk,0,['https://chaldn.com/_mpimage/chicken-eggs-special-offer-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D77392&q=best&v=1'],[],"[61, 58, 2]",[61],"[277, 278, 281, 287, 295, 364]",0,[],1,Grocery,NaN,[]
1,আম ল্যাংড়া (নেট ওজন ± ৫০ গ্রাম) ৩ কেজি,16322,Mango Langra (Net Weight ± 50 gm) 3 kg,Mango Langra (Net Weight ± 50 gm),3 kg,450.0,319.0,319.0,,,mango-langra-net-weight-50-gm-3-kg,0,['https://chaldn.com/_mpimage/mango-langra-net-weight-50-gm-3-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D78379&q=best&v=1'],[],"[11, 7, 2]",[11],"[256, 277, 278, 281]",0,[],1,Grocery,NaN,[]
2,আম বারি ৪ ± ৫০ গ্রাম ৩ কেজি,22168,Mango Bari 4 ± 50 gm 3 kg,Mango Bari 4 ± 50 gm,3 kg,360.0,309.0,309.0,,,mango-bari-4-net-weight-50-gm-3-kg,0,['https://chaldn.com/_mpimage/mango-bari-4-50-gm-3-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D80577&q=low&v=1'],[],"[11, 7, 2, 238]","[11, 238]","[277, 281]",0,[],1,Grocery,NaN,"[{'Quantity': 11, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1656992707799, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': None, 'AvailabilityCutOffTimeOfDay': None}]"
3,পুষ্টি ফর্টিফায়েড সয়াবিন তেল ৫ লিটার ,15871,Pusti Fortified Soyabean Oil 5 ltr,Pusti Fortified Soyabean Oil,5 ltr,980.0,959.0,959.0,,"‘PUSTI Soyabean Oil’ is a flagship premium brand in soyabean oil market of Bangladesh. Due to excellence in sourcing and state-of-the-art German refining technology, ‘PUSTI Soyabean Oil’ preserves the inherent goodness and properties of soyabean to give consumers light, tasty and healthy edible oil. The great taste enhancer along with their quality has won the consumer loyalty across Bangladesh. As these oils are rich in Polyunsaturated Fatty Acids, they help in keeping cholesterol level under check and are preferred by health-conscious home makers for their families.",pusti-fortified-soyabean-oil-5-ltr,1,['https://chaldn.com/_mpimage/pusti-fortified-soyabean-oil-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D88359&q=best&v=1'],[],"[108, 104, 2, 238, 1318, 1471, 1386]","[108, 238, 1318, 1471, 1386]","[248, 277, 278, 281, 287, 295, 225]",0,[],1,Grocery,NaN,"[{'Quantity': 208, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1656992707800, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': None, 'AvailabilityCutOffTimeOfDay': None}, {'Quantity': 727, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1657081800000, 'Offset': 360.0}, 'AvailabilityExpiryTime': {'UnixTimeMilliseconds': 1657038600000, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': None, 'AvailabilityCutOffTimeOfDay': None}]"
4,আম হাড়িভাঙ্গা ± ৫০ গ্রাম ৩ কেজি,24694,Mango Harivanga ± 50 gm 3 kg,Mango Harivanga ± 50 gm,3 kg,360.0,239.0,239.0,,,mango-harivanga-3-kg-2,0,['https://chaldn.com/_mpimage/mango-harivanga-50-gm-3-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112979&q=best&v=1'],[],"[11, 7, 2, 238, 1471]","[11, 238, 1471]","[277, 281]",0,[],1,Grocery,NaN,"[{'Quantity': 9, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1656992707800, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': None, 'AvailabilityCutOffTimeOfDay': None}]"
5, আম আম্রপালি ± ৫০ গ্রাম ৩ কেজি,15055,Mango Aamropali  ± 50 gm 3 kg,Mango Aamropali  ± 50 gm,3 kg,390.0,279.0,279.0,"Grab the delicious Mango Amrapali from chaldal. There is a smell coming from the mango that, the water will come out of the mouth and whose taste has a hint of rose. Its flesh is deep orange-red, medium size, with yellowish green skin. So, take off the mango with excellent flavor and juicy in texture. This mango offers a healthy dose of vitamins, minerals and enzymes that are beneficial for your health...","Chaldal has brought you the best chemical free Amrapali straight from Shibganj. Its flesh is deep orange-red, medium size, with yellowish green skin. This mango offers a healthy dose of vitamins, minerals and enzymes that are beneficial for your health.

 It was developed as a hybrid variety of 'Dasheri' and 'Neelum'. Among other mangoes, Amrapali is considered to be  the most tasteful and popular mango you can enjoy with your family and loved ones.

চালডালে পাচ্ছেন সরাসরি শিবগঞ্জ থেকে আগত শতভাগ প্রাকৃতিক উপায়ে সংগ্রহকৃত আম্রপালি আম।

এই আমটি পাকলে সাধারনত হলুদ এবং হালকা লালচে সবুজ বর্ণের হয়।

প্রচুর ভিটামিন এবং স্বাস্থ্যসম্মত এই আমের উপকারিতা বলে শেষ করা যাবে না।

বিখ্যাত আম দু’সেহরী এবং নীলম জাতের সংমিশ্রনে এই আমের সৃষ্টি । অন্যন্য আমের তুলনায় সবার মাঝে আম্রপালি অনেক সুস্বাদু এবং জনপ্রিয় আম হিসেবে পরিচিত যা আপনি আপনার পরিবারকে নিয়ে উপভোগ করতে পারবেন।",mango-aamropali-net-weight-50-gm-3-kg,0,['https://chaldn.com/_mpimage/mango-aamropali-50-gm-3-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D79768&q=low&v=1'],[],"[11, 7, 2, 238, 1471]","[11, 238, 1471]","[257, 277, 278, 281]",0,[],1,Grocery,NaN,"[{'Quantity': 27, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1656992707800, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': None, 'AvailabilityCutOffTimeOfDay': None}]"
6,আস্ত ইলিশ  ±৪০ গ্রাম ৬০০ গ্রাম,23569,Whole Hilsha Fish (Asto Ilish) ±40 gm 500 gm,Whole Hilsha Fish (Asto Ilish) ±40 gm,500 gm,699.0,479.0,479.0,,"Bangladesh this fish is prepared in varity of way like it can be smoked, fried, steamed, baked, prepared with mustard seed paste, curd, brinjal (eggplant). Some common hilsa menus are Fried hilsa, Khichuri-Ilish, Sorshe Ilish, Panta Ilish,Vapa Ilish etc.
It has cultural value in Bangali’s life. It is an obvious food in many cultural festival like Pahela Boishakh, Saraswati Puja. ",whole-hilsha-net-weight-50-gm-500-gm,0,['https://chaldn.com/_mpimage/whole-hilsha-fish-asto-ilish-40-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103538&q=best&v=1'],[],"[1235, 23, 2]",[1235],"[277, 364]",0,[],1,Grocery,NaN,"[{'Quantity': 3, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1656992707800, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': None, 'AvailabilityCutOffTimeOfDay': None}, {'Quantity': 50, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1656994219800, 'Offset': 360.0}, 'AvailabilityExpiryTime': {'UnixTimeMilliseconds': 1657029600000, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': 445.2, 'AvailabilityCutOffTimeOfDay': 1225.2}]"
7,আস্ত ইলিশ ±৫০ গ্রাম ১ কেজি,7175,Whole Hilsha Fish (Asto Ilish) ± 50 gm 1 kg,Whole Hilsha Fish (Asto Ilish) ± 50 gm,1 kg,1599.0,1599.0,1599.0,"Ilish or Hilsha is a national fish of Bangladesh. Ilish body is strongly compressed and moderately deep with dorsal and ventral profile equally convex. It is considered to be one of most favorite and delicious fish in the world. t is an oily fish and rich in essential omega 3 fatty acids. n Bangladesh this fish is prepared in varity of way like it can be smoked, fried, steamed, baked, prepared with mustard seed paste, curd, brinjal (eggplant). Some common hilsa menus are Fried hilsa, Khichuri-Ilish, Sorshe Ilish, Panta Ilish,Vapa Ilish etc.
It has cultural value in Bangali’s life. It is an obvious food in many cultural festival like Pahela Boishakh, Saraswati Puja.","Ilish or Hilsha is a national fish of Bangladesh. Ilish body is strongly compressed and moderately deep with dorsal and ventral profile equally convex. It is considered to be one of most favorite and delicious fish in the world. t is an oily fish and rich in essential omega 3 fatty acids. n Bangladesh this fish is prepared in varity of way like it can be smoked, fried, steamed, baked, prepared with mustard seed paste, curd, brinjal (eggplant). Some common hilsa menus are Fried hilsa, Khichuri-Ilish, Sorshe Ilish, Panta Ilish,Vapa Ilish etc.
It has cultural value in Bangali’s life. It is an obvious food in many cultural festival like Pahela Boishakh, Saraswati Puja. ",whole-hilsha-ilish-export-quality-1-kg,0,['https://chaldn.com/_mpimage/whole-hilsha-fish-asto-ilish-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103539&q=best&v=1'],[],"[238, 1235, 23, 2]","[238, 1235]","[184, 364]",0,[],1,Grocery,NaN,"[{'Quantity': 4, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1656992707800, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': None, 'AvailabilityCutOffTimeOfDay': None}, {'Quantity': 50, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1656994219800, 'Offset': 360.0}, 'AvailabilityExpiryTime': {'UnixTimeMilliseconds': 1657029600000, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': 445.2, 'AvailabilityCutOffTimeOfDay': 1225.2}]"
8,হাড়িভাঙ্গা আম (নেট ওজন ± ৫০ গ্রাম) ৩ কেজি,16382,Mango Haribhanga (Net Weight ± 50 gm) 3 kg,Mango Haribhanga (Net Weight ± 50 gm),3 kg,419.0,389.0,389.0,,,mango-haribhanga-net-weight-50-gm-3-kg,0,['https://chaldn.com/_mpimage/mango-haribhanga-net-weight-50-gm-3-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D62830&q=low&v=1&m=400'],[],"[11, 7, 2]",[11],[277],0,[],1,Grocery,NaN,[]
9,আম ফজলি ± ৫০ গ্রাম ৩ কেজি,10288,Mango Fazli ± 50 gm 3 kg,Mango Fazli ± 50 gm,3 kg,309.0,229.0,229.0,,,mango-fazli-net-weight-50-gm-3-kg,0,['https://chaldn.com/_mpimage/mango-fazli-50-gm-3-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D80575&q=low&v=1'],[],"[11, 7, 2, 238]","[11, 238]","[257, 277, 281]",0,[],1,Grocery,NaN,"[{'Quantity': 10, 'EarliestAvailableTime': {'UnixTimeMilliseconds': 1656992707800, 'Offset': 360.0}, 'EarliestAvailableTimeOfDay': None, 'AvailabilityCutOffTimeOfDay': None}]"
