Name,phone,Address,Time
 ARTISTIQUE AESTHETIC CLINIC,T.  65183169 65183169 F.  67581374,1 MARITIME SQUARE HARBOURFRONT CENTRE #02-108 Singapore 099253,Please call the clinic for operating hours
 DA CLINIC @ BISHAN,T.  31650140 31650140 F.   69541012,BLK 501 BISHAN STREET 11 #01-374 Singapore 570501,"Monday to Friday : 08:30 am to 04:30 pm, 06:00 pm to 09:00 pmSaturday : 08:30 am to 12:00 pmSunday and Public Holiday : 08:30 am to 12:00 pm"
 ICON CANCER CENTRE GLENEAGLES ,T.  64713373 64713373 F.  64711062,6 NAPIER ROAD GLENEAGLES MEDICAL CENTRE #05-15 Singapore 258499,Please call the clinic for operating hours
 LEROY MCCULLY AND ASSOCIATES PTE LTD,T.  66940100 66940100 F.  65700580,38 IRRAWADDY ROAD MOUNT ELIZABETH NOVENA SPECIALIST CENTRE #11-43/44/45/46 Singapore 329563,24 Hour
 PACIFIC ADVANCE RENAL CARE (CHOA CHU KANG),T.  68930617 68930617 F.  67354598,BLK 488B CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS #01-145 Singapore 682488,Please call the clinic for operating hours
 SHANG DENTAL (KALLANG),T.  64433443 64433443 F.  64433443,BLK 71 KALLANG BAHRU #01-531F Singapore 330071,Please call the clinic for operating hours
 SINGHEALTH POLYCLINICS ,T.  66436969 66436969 F.  67833132,1 TAMPINES STREET 41 TAMPINES POLYCLINIC Singapore 529203,"Monday to Friday : 08:00 am to 01:00 pm, 02:00 pm to 04:30 pmSaturday : 08:00 am to 12:30 pmSunday and Public Holiday : Closed"
1 ALJUNIED MEDICAL,F.  62861923,389 UPPER ALJUNIED ROAD MACPHERSON GARDEN ESTATE Singapore 367874,Please call the clinic for operating hours
1 BISHAN MEDICAL,F.  0,BLK 283 BISHAN STREET 22 #01-191 Singapore 570283,Please call the clinic for operating hours
1 MEDICAL TECK GHEE,T.  62517030 62517030 F.  62517031,BLK 410 ANG MO KIO AVENUE 10 TECK GHEE SQUARE #01-837 Singapore 560410,"Monday to Sunday : 07:00 am to 01:00 pm, 06:00 pm to 11:00 pm"
115 EASTPOINT CLINIC & SURGERY,T.  64410180 64410180 F.  00000000,BLK 115 BEDOK NORTH RD #01-301 Singapore 460115,"Eve of Chinese New Year (24/01/2020) : 09:00 am to 12:30 pmMonday to Friday : 09:30 am to 12:30 pm, 02:30 pm to 04:00 pm, 07:00 pm to 08:30 pm"
1728 DENTAL PRACTICE,F.  87641728,BLK 205 BEDOK NORTH STREET 1 #01-389 Singapore 460205,Please call the clinic for operating hours
