Name,PhysicalAddress,PostalAddress,Email,Phone
Berry Springs Primary School,"{'description': '1150 Cox Peninsula Rd', 'state': 'NT', 'postCode': 'Berry Springs, 0838', 'displayAddress': '1150 Cox Peninsula Rd, Berry Springs, 0838, NT'}","PO Box 135, Berry Springs, 0838, NT",berrysprings.primary@education.nt.gov.au,(08) 8988 6006
Arlparra School,"{'description': None, 'state': 'NT', 'postCode': 'Arlparra Community, Utopia', 'displayAddress': ', Arlparra Community, Utopia, NT'}","PMB 18, via ALICE SPRINGS, 0872, NT",stephen.nimmo@education.nt.gov.au,(08) 8956 9178
Areyonga School,"{'description': 'wsw of Hermannsburg, 224km from Alice Springs', 'state': 'NT', 'postCode': 'Areyonga', 'displayAddress': 'wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT'}","Areyonga, via Alice Springs, 0872, NT",areyonga.school@education.nt.gov.au,(08) 8956 7303
Baniyala Garrangali School,"{'description': 'Yilpara Community', 'state': 'NT', 'postCode': 'Yirrkala, 0880', 'displayAddress': 'Yilpara Community, Yirrkala, 0880, NT'}","PO Box 1496, NHULUNBUY, 0881, NT",kirsten.morey@education.nt.gov.au,(08) 8987 9114
Bees Creek Primary School,"{'description': '20 Sattler Cres', 'state': 'NT', 'postCode': 'Freds Pass', 'displayAddress': '20 Sattler Cres, Freds Pass, NT'}","PO Box 1500, Coolalinga, 0839, NT",bees.creek@education.nt.gov.au,(08) 8983 3222
Belyuen School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Belyuen', 'displayAddress': 'N/A, Belyuen, NT'}","PMB 2, GPO Darwin, 0801, NT",elspeth.hurse@education.nt.gov.au,(08) 8978 5085
Australian International Islamic College,"{'description': '25 Bowerlee Road', 'state': 'NT', 'postCode': 'Berrimah NT 0828', 'displayAddress': '25 Bowerlee Road, Berrimah NT 0828, NT'}","25 Bowerlee Road, Berrimah, 0828, NT",nt.admin@aiic.nt.edu.au,n/a
Barunga School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Barunga  (Bamyili)', 'displayAddress': 'N/A, Barunga  (Bamyili), NT'}","PMB 117, via Katherine, 0851, NT",office.barunga@education.nt.gov.au,(08) 8975 4502
Batchelor Area School,"{'description': '71 Kirra Cres', 'state': 'NT', 'postCode': 'Batchelor, 0845', 'displayAddress': '71 Kirra Cres, Batchelor, 0845, NT'}","c/-, Batchelor Post Office, 0845, NT",batchelor.as@education.nt.gov.au,(08) 8976 0077
Araluen Christian School,"{'description': '10 Blain St', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '10 Blain St, Alice Springs, NT'}","10 Blain Street, Alice Springs, 0870, NT",admin.acc@ntschools.net,(08) 8955 3300
